 id  |      const_ward_name      | const_ward_type  
 362 | KADUGONDANAHALLI          | Ward
 363 | KADU MALLESHWAR WARD      | Ward
 364 | KAMAKSHIPALYA             | Ward
 365 | KAMMANAHALLI              | Ward
 366 | KARISANDRA                | Ward
 367 | KATRIGUPPE                | Ward
 368 | KAVAL BAIRASANDRA         | Ward
 369 | KAVERIPURA                | Ward
 370 | KEMPAPURA AGRAHARA        | Ward
 371 | KEMPEGOWDA WARD           | Ward
 372 | KENGERI                   | Ward
 373 | KODIGEHALLI               | Ward
 374 | KONANKUNTE                | Ward
 375 | KONENA AGRAHARA           | Ward
 376 | KORAMANGALA               | Ward
 377 | KOTTEGEPALYA              | Ward
 378 | K R MARKET                | Ward
 379 | K R PURAM                 | Ward
 380 | KUMARASWAMY LAYOUT        | Ward
 381 | KUSHAL NAGAR              | Ward
 382 | KUVEMPU NAGAR             | Ward
 383 | LAGGERE                   | Ward
 384 | LAKKASANDRA               | Ward
 385 | LAKSHMI DEVI NAGAR        | Ward
 386 | LINGARAJAPURA             | Ward
 387 | MADIVALA                  | Ward
 388 | MAHALAKSHIMPURAM          | Ward
 389 | MALLASANDRA               | Ward
 390 | MALLESWARAM               | Ward
 391 | MANGAMMANAPALYA           | Ward
 392 | MANORAYANAPALYA           | Ward
 393 | MARAPPANA PALYA           | Ward
 394 | MARATHAHALLI              | Ward
 395 | MARENAHALLI               | Ward
 396 | MARUTHI MANDIR WARD       | Ward
 397 | MARUTHI SEVA NAGAR        | Ward
 398 | MATTIKERE                 | Ward
 399 | MUDALAPALYA               | Ward
 400 | MUNESHWARA NAGAR          | Ward
 401 | NAGAPURA                  | Ward
 402 | NAGARABHAVI               | Ward
 403 | NAGAVARA                  | Ward
 404 | NANDINI LAYOUT            | Ward
 405 | NAYANDAHALLI              | Ward
 406 | NEW TIPPASANDARA          | Ward
 407 | NILASANDRA                | Ward
 408 | OKALIPURAM                | Ward
 409 | PADARAYANAPURA            | Ward
 410 | PADMANABHA NAGAR          | Ward
 411 | PATTABHIRAM NAGAR         | Ward
 412 | PEENYA INDUSTRIAL AREA    | Ward
 413 | PRAKASH NAGAR             | Ward
 414 | PULIKESHINAGAR            | Ward
 415 | PUTTENAHALLI              | Ward
 416 | RADHAKRISHNA TEMPLE WARD  | Ward
 417 | RAJAGOPAL NAGAR           | Ward
 418 | RAJAJI NAGAR              | Ward
 419 | RAJAMAHAL GUTTAHALLI      | Ward
 420 | RAJARAJESHWARI NAGAR      | Ward
 421 | RAMAMURTHY NAGAR          | Ward
 422 | RAMASWAMY PALYA           | Ward
 423 | RAYAPURAM                 | Ward
 424 | SAGAYARAPURAM             | Ward
 425 | SAMPANGIRAM NAGAR         | Ward
 426 | SANJAYA NAGAR             | Ward
 427 | SARAKKI                   | Ward
 428 | SARVAGNA NAGAR            | Ward
 429 | SHAKAMBARI NAGAR          | Ward
 430 | SHAKTHI GANAPATHI NAGAR   | Ward
 431 | SHANKAR MATT              | Ward
 432 | SHANTALA NAGAR            | Ward
 433 | SHANTHI NAGAR             | Ward
 434 | SHETTIHALLI               | Ward
 435 | SHIVAJI NAGAR             | Ward
 436 | SHIVANAGARA               | Ward
 437 | SIDDAPURA                 | Ward
 438 | SINGASANDRA               | Ward
 439 | S K GARDEN                | Ward
 440 | SRINAGAR                  | Ward
 441 | SRIRAMAMANDIR             | Ward
 442 | SUBHASH NAGAR             | Ward
 443 | SUBRAMANYA NAGAR          | Ward
 444 | SUDDAGUNTE PALYA          | Ward
 445 | SUDHAM NAGARA             | Ward
 446 | SUNKENAHALLI              | Ward
 447 | T DASARAHALLI             | Ward
 448 | THANISANDRA               | Ward
 449 | ULLALU                    | Ward
 450 | UTTARAHALLI               | Ward
 451 | VANNARPET                 | Ward
 452 | VARTHURU                  | Ward
 453 | VASANTH NAGAR             | Ward
 454 | VASANTHPURA               | Ward
 455 | VIDYAPEETA WARD           | Ward
 456 | VIDYARANYAPURA            | Ward
 457 | VIJAYANAGAR               | Ward
 458 | VIJNANA NAGAR             | Ward
 459 | VIJNANAPURA               | Ward
 460 | VISHVESHWARA PURAM        | Ward
 461 | VISHWANATH NAGENAHALLI    | Ward
 462 | VRISABHAVATHI NAGAR       | Ward
 463 | YEDIYUR                   | Ward
 464 | YELAHANKA SATELLITE TOWN  | Ward
 465 | YELCHENAHALLI             | Ward
 466 | YESHWANTHPURA             | Ward
 212 | MALLESWARAM               | MLA Constituency
 215 | SHIVAJINAGAR              | MLA Constituency
 216 | BASAVANAGUDI              | MLA Constituency
 217 | GANDHINAGAR               | MLA Constituency
 218 | SHANTHINAGAR              | MLA Constituency
 219 | JAYANAGAR                 | MLA Constituency
 246 | KR PURAM                  | MLA Constituency
 247 | RAJARAJESWARINAGARA       | MLA Constituency
 248 | T.DASARAHALLI             | MLA Constituency
 249 | MAHALAKSHMI LAYOUT        | MLA Constituency
 250 | HEBBAL                    | MLA Constituency
 251 | PULAKESHINAGAR            | MLA Constituency
 252 | SARVAJNA NAGARA           | MLA Constituency
 253 | CV RAMAN NAGAR            | MLA Constituency
 254 | GOVINDRAJ NAGAR           | MLA Constituency
 255 | VIJAYNAGAR                | MLA Constituency
 256 | PADMANABANAGAR            | MLA Constituency
 257 | BTM LAYOUT                | MLA Constituency
 258 | MAHADEVAPURA              | MLA Constituency
 259 | BOMMANAHALLI              | MLA Constituency
 260 | BANGALORE SOUTH           | MLA Constituency
 261 | BYATARAYANAPURA           | MLA Constituency
 262 | YASHWANTHPURA             | MLA Constituency
 263 | BANGALORE RURAL           | MP Constituency
 264 | BANGALORE CENTRAL         | MP Constituency
  73 | DEVANAHALLI               | MLA Constituency
  75 | ANEKAL                    | MLA Constituency
  76 | HOSAKOTE                  | MLA Constituency
 467 | GP Update                 | Gram Panchayat
(455 rows)

